CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,22,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,46,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,842,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,790,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,923,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,905,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,819,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,691,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,702,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,780,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,669,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,621,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,565,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,600,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,600,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2000,2000,24,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2001,2001,23,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2002,2002,38,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2003,2003,24,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2004,2004,28,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2005,2005,27,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2006,2006,27,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2007,2007,45,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2008,2008,49,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2009,2009,76,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2010,2010,56,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2011,2011,62,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2012,2012,72,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2013,2013,63,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2014,2014,41,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2015,2015,80,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2016,2016,73,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2017,2017,83,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2018,2018,105,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2019,2019,120,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,AUT,Austria,2020,2020,91,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2008,2008,171,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2009,2009,167,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2010,2010,136,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2011,2011,161,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2012,2012,172,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2013,2013,146,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2014,2014,187,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2015,2015,139,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2016,2016,174,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2017,2017,183,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2018,2018,141,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2019,2019,138,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,BEL,Belgium,2020,2020,139,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2000,2000,3,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2001,2001,799,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2002,2002,1270,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2003,2003,931,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2004,2004,770,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2005,2005,1417,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2006,2006,2350,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2007,2007,1051,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2008,2008,69,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2009,2009,37,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2010,2010,36,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2011,2011,53,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2012,2012,1663,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2013,2013,2371,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2014,2014,1899,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2015,2015,1534,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2016,2016,1211,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2017,2017,880,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2018,2018,1089,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2019,2019,881,,
