Year,Australia,Austria,Belgium,Canada,Czech Republic,France,Germany,Hungary,Iceland,Japan,South Korea,Luxembourg,Denmark,Finland,Netherlands,New Zealand,US,Sweden
2000,1742,83,174,1800,282,849,5867,199,43,3810,7557,11,216,85,340,261,26553,396
2001,1858,64,181,2097,2203,940,6688,120,58,4710,2600,16,238,71,512,649,35419,329
2002,2461,121,210,2282,5679,1079,6882,103,45,5255,3003,5,213,93,654,714,33563,309
2003,2981,130,225,1713,3580,908,6704,236,38,6555,6663,20,157,47,499,511,22087,296
2004,2546,117,218,1814,4457,915,5883,362,28,6479,7832,16,105,80,396,409,31524,307
2005,2510,95,242,1852,4906,850,4880,221,32,7730,18046,12,129,180,302,450,32784,365
2006,2945,81,201,3152,6433,1205,4491,398,26,8468,20036,15,136,209,274,335,30691,545
2007,3406,96,217,2574,12332,1305,4110,455,22,9879,21222,18,196,262,241,445,28691,470
2008,3043,84,245,1784,13368,1249,4045,300,42,12528,23960,22,143,317,331,692,30628,442
2009,3273,70,310,2171,2306,1352,4469,227,22,10930,16427,15,165,300,352,796,28496,539
2010,3844,77,281,1942,1422,1153,4310,212,37,11932,22934,17,178,272,361,854,30012,659
2011,4802,86,327,1723,708,1148,4206,225,36,13913,27873,21,126,360,442,665,33465,725
2012,4804,108,248,1729,1571,1328,3887,269,20,19481,24743,20,144,379,359,725,27554,649
2013,5716,98,298,2112,1186,1359,4126,294,32,31740,22248,28,158,402,368,683,26519,536
2014,5237,118,230,2494,1745,1054,5053,276,42,42993,28012,22,191,506,392,770,29425,678
2015,5074,161,255,2591,1305,1012,6117,347,43,65850,30244,34,164,679,473,896,30358,694
2016,5377,162,266,2445,1752,1003,6998,280,66,77540,40099,33,137,942,683,1057,40133,752
2017,5526,211,260,2505,2196,1070,7045,731,66,98615,47964,29,207,616,870,1338,37883,1075
2018,5220,228,288,3050,2264,1127,8482,1279,78,123274,55992,21,218,576,931,1362,33421,1139
2019,5517,227,284,4220,1904,1179,8846,1961,60,148167,61344,42,210,684,1114,1647,39209,1058
2020,5101,150,218,2610,1375,637,7464,1844,109,71137,28005,26,272,485,601,610,29520,645
